,집계일시,평균속도
0,2021050100,98.63
1,2021050101,100.53
2,2021050102,99.86
3,2021050103,99.34
4,2021050104,93.64
5,2021050105,93.92
6,2021050106,91.78
7,2021050107,90.57
8,2021050108,87.03
9,2021050109,81.75
10,2021050110,77.13
11,2021050111,76.01
12,2021050112,76.09
13,2021050113,46.5
14,2021050114,56.69
15,2021050115,54.91
16,2021050116,67.57
17,2021050117,69.82
18,2021050118,79.98
19,2021050119,82.14
20,2021050120,81.02
21,2021050121,82.58
22,2021050122,85.55
23,2021050123,91.8
24,2021050200,91.87
25,2021050201,93.9
26,2021050202,95.61
27,2021050203,96.73
28,2021050204,94.15
29,2021050205,99.36
30,2021050206,100.24
31,2021050207,97.64
32,2021050208,94.25
33,2021050209,90.01
34,2021050210,86.25
35,2021050211,86.81
36,2021050212,88.37
37,2021050213,85.6
38,2021050214,84.18
39,2021050215,83.35
40,2021050216,81.26
41,2021050217,77.43
42,2021050218,84.89
43,2021050219,84.12
44,2021050220,81.19
45,2021050221,85.15
46,2021050222,93.34
47,2021050223,98.84
48,2021050300,100.22
49,2021050301,100.22
50,2021050302,98.65
51,2021050303,97.45
52,2021050304,95.32
53,2021050305,89.67
54,2021050306,75.37
55,2021050307,48.91
56,2021050308,48.06
57,2021050309,58.29
58,2021050310,70.01
59,2021050311,74.31
60,2021050312,76.01
61,2021050313,74.91
62,2021050314,69.59
63,2021050315,64.77
64,2021050316,78.63
65,2021050317,64.41
66,2021050318,51.38
67,2021050319,59.73
68,2021050320,77.89
69,2021050321,85.24
70,2021050322,90.58
71,2021050323,97.63
72,2021050400,99.36
73,2021050401,98.24
74,2021050402,96.13
75,2021050403,93.54
76,2021050404,92.1
77,2021050405,90.03
78,2021050406,77.64
79,2021050407,61.32
80,2021050408,59.25
81,2021050409,59.08
82,2021050410,58.55
83,2021050411,56.2
84,2021050412,68.7
85,2021050413,63.62
86,2021050414,55.86
87,2021050415,57.99
88,2021050416,61.51
89,2021050417,62.23
90,2021050418,56.89
91,2021050419,48.77
92,2021050420,65.57
93,2021050421,75.84
94,2021050422,78.58
95,2021050423,89.09
96,2021050500,97.29
97,2021050501,96.91
98,2021050502,96.52
99,2021050503,95.49
100,2021050504,93.89
101,2021050505,94.44
102,2021050506,92.0
103,2021050507,91.81
104,2021050508,90.23
105,2021050509,86.25
106,2021050510,84.58
107,2021050511,81.55
108,2021050512,84.2
109,2021050513,84.33
110,2021050514,82.21
111,2021050515,77.65
112,2021050516,74.94
113,2021050517,63.52
114,2021050518,76.63
115,2021050519,82.82
116,2021050520,81.88
117,2021050521,85.35
118,2021050522,92.32
119,2021050523,99.38
120,2021050600,99.84
121,2021050601,98.49
122,2021050602,97.71
123,2021050603,95.44
124,2021050604,93.42
125,2021050605,89.9
126,2021050606,77.13
127,2021050607,60.78
128,2021050608,50.99
129,2021050609,56.71
130,2021050610,59.93
131,2021050611,61.96
132,2021050612,74.9
133,2021050613,73.06
134,2021050614,69.86
135,2021050615,60.16
136,2021050616,59.89
137,2021050617,62.14
138,2021050618,54.64
139,2021050619,61.05
140,2021050620,77.64
141,2021050621,83.05
142,2021050622,91.67
143,2021050623,98.61
144,2021050700,97.89
145,2021050701,98.09
146,2021050702,97.26
147,2021050703,94.52
148,2021050704,92.54
149,2021050705,89.01
150,2021050706,80.73
151,2021050707,64.29
152,2021050708,48.07
153,2021050709,54.16
154,2021050710,59.72
155,2021050711,60.53
156,2021050712,75.52
157,2021050713,74.46
158,2021050714,63.78
159,2021050715,62.15
160,2021050716,62.71
161,2021050717,63.77
162,2021050718,47.37
163,2021050719,54.05
164,2021050720,76.93
165,2021050721,81.89
166,2021050722,87.31
167,2021050723,95.84
168,2021050800,100.2
169,2021050801,101.5
170,2021050802,99.14
171,2021050803,96.68
172,2021050804,94.05
173,2021050805,92.86
174,2021050806,89.26
175,2021050807,88.16
176,2021050808,83.08
177,2021050809,77.57
178,2021050810,74.28
179,2021050811,67.08
180,2021050812,61.82
181,2021050813,66.73
182,2021050814,68.46
183,2021050815,57.55
184,2021050816,59.83
185,2021050817,58.15
186,2021050818,57.79
187,2021050819,87.15
188,2021050820,79.88
189,2021050821,80.55
190,2021050822,86.88
191,2021050823,96.88
192,2021050900,99.82
193,2021050901,101.96
194,2021050902,102.98
195,2021050903,100.55
196,2021050904,98.87
197,2021050905,103.1
198,2021050906,102.05
199,2021050907,99.56
200,2021050908,96.12
201,2021050909,91.27
202,2021050910,85.26
203,2021050911,85.31
204,2021050912,84.06
205,2021050913,85.31
206,2021050914,84.1
207,2021050915,80.42
208,2021050916,74.76
209,2021050917,78.25
210,2021050918,84.72
211,2021050919,85.11
212,2021050920,81.88
213,2021050921,84.99
214,2021050922,93.07
215,2021050923,98.86
216,2021051000,101.02
217,2021051001,101.77
218,2021051002,97.69
219,2021051003,97.75
220,2021051004,93.56
221,2021051005,85.61
